1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 49000000343CAF21
Is Mission Active?  false
Mission Start:  Wed Sep 20 12:01:00 CEST 2023
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  676
Total Samples:  39440
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date,Time,Unit,Value
9/20/23, 12:01:00 PM,C,24.5
9/20/23, 1:01:00 PM,C,23.5
9/20/23, 2:01:00 PM,C,23.5
9/20/23, 3:01:00 PM,C,27.5
9/20/23, 4:01:00 PM,C,25.5
9/20/23, 5:01:00 PM,C,25
9/20/23, 6:01:00 PM,C,24.5
9/20/23, 7:01:00 PM,C,22.5
9/20/23, 8:01:00 PM,C,15.5
9/20/23, 9:01:00 PM,C,14
9/20/23, 10:01:00 PM,C,14.5
9/20/23, 11:01:00 PM,C,15
9/21/23, 12:01:00 AM,C,14.5
9/21/23, 1:01:00 AM,C,14.5
9/21/23, 2:01:00 AM,C,14
9/21/23, 3:01:00 AM,C,14
9/21/23, 4:01:00 AM,C,14
9/21/23, 5:01:00 AM,C,14
9/21/23, 6:01:00 AM,C,14.5
9/21/23, 7:01:00 AM,C,14.5
9/21/23, 8:01:00 AM,C,15
9/21/23, 9:01:00 AM,C,17.5
9/21/23, 10:01:00 AM,C,21
9/21/23, 11:01:00 AM,C,26
9/21/23, 12:01:00 PM,C,29
9/21/23, 1:01:00 PM,C,27.5
9/21/23, 2:01:00 PM,C,28
9/21/23, 3:01:00 PM,C,24
9/21/23, 4:01:00 PM,C,23.5
9/21/23, 5:01:00 PM,C,23.5
9/21/23, 6:01:00 PM,C,22.5
9/21/23, 7:01:00 PM,C,18
9/21/23, 8:01:00 PM,C,16.5
9/21/23, 9:01:00 PM,C,17
9/21/23, 10:01:00 PM,C,15
9/21/23, 11:01:00 PM,C,13.5
9/22/23, 12:01:00 AM,C,13
9/22/23, 1:01:00 AM,C,12.5
9/22/23, 2:01:00 AM,C,12
9/22/23, 3:01:00 AM,C,12
9/22/23, 4:01:00 AM,C,12
9/22/23, 5:01:00 AM,C,11.5
9/22/23, 6:01:00 AM,C,11.5
9/22/23, 7:01:00 AM,C,11.5
9/22/23, 8:01:00 AM,C,11.5
9/22/23, 9:01:00 AM,C,13
9/22/23, 10:01:00 AM,C,13
9/22/23, 11:01:00 AM,C,13
9/22/23, 12:01:00 PM,C,14
9/22/23, 1:01:00 PM,C,14.5
9/22/23, 2:01:00 PM,C,16.5
9/22/23, 3:01:00 PM,C,18.5
9/22/23, 4:01:00 PM,C,18.5
9/22/23, 5:01:00 PM,C,17
9/22/23, 6:01:00 PM,C,16
9/22/23, 7:01:00 PM,C,12.5
9/22/23, 8:01:00 PM,C,11
9/22/23, 9:01:00 PM,C,12
9/22/23, 10:01:00 PM,C,11.5
9/22/23, 11:01:00 PM,C,11.5
9/23/23, 12:01:00 AM,C,10.5
9/23/23, 1:01:00 AM,C,10
9/23/23, 2:01:00 AM,C,9
9/23/23, 3:01:00 AM,C,9.5
9/23/23, 4:01:00 AM,C,9.5
9/23/23, 5:01:00 AM,C,9.5
9/23/23, 6:01:00 AM,C,9.5
9/23/23, 7:01:00 AM,C,9
9/23/23, 8:01:00 AM,C,9.5
9/23/23, 9:01:00 AM,C,11
9/23/23, 10:01:00 AM,C,12.5
